TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
0,Balsam_fir-white_birch,Low,3.83,23,0.10,23.00,38.06,53.07,0.00,0.38,Live_Carbon,45.57
0,Balsam_fir-white_birch,Low,3.83,23,0.10,23.00,38.06,53.07,0.00,0.38,Dead_Carbon,0.19
0,Balsam_fir-white_birch,Moderate,6.78,12,0.14,12.00,33.07,59.66,0.11,0.66,Live_Carbon,46.37
0,Balsam_fir-white_birch,Moderate,6.78,12,0.14,12.00,33.07,59.66,0.11,0.66,Dead_Carbon,0.38
0,Balsam_fir-white_birch,High,3.59,24,0.23,24.00,34.92,49.00,0.25,1.15,Live_Carbon,41.96
0,Balsam_fir-white_birch,High,3.59,24,0.23,24.00,34.92,49.00,0.25,1.15,Dead_Carbon,0.70
0,Balsam_fir-yellow_birch,Low,4.52,38,0.25,38.00,45.23,62.94,0.15,1.14,Live_Carbon,54.09
0,Balsam_fir-yellow_birch,Low,4.52,38,0.25,38.00,45.23,62.94,0.15,1.14,Dead_Carbon,0.65
0,Balsam_fir-yellow_birch,Moderate,4.16,22,0.70,22.00,33.49,49.81,0.49,3.25,Live_Carbon,41.65
0,Balsam_fir-yellow_birch,Moderate,4.16,22,0.70,22.00,33.49,49.81,0.49,3.25,Dead_Carbon,1.87
0,Balsam_fir-yellow_birch,High,4.00,25,0.39,25.00,30.18,45.86,0.25,1.78,Live_Carbon,38.02
0,Balsam_fir-yellow_birch,High,4.00,25,0.39,25.00,30.18,45.86,0.25,1.78,Dead_Carbon,1.02
1,Balsam_fir-white_birch,Low,3.13,40,0.40,40.00,45.72,58.00,-0.09,1.49,Live_Carbon,51.86
1,Balsam_fir-white_birch,Low,3.13,40,0.40,40.00,45.72,58.00,-0.09,1.49,Dead_Carbon,0.70
1,Balsam_fir-white_birch,Moderate,3.27,43,0.45,43.00,32.87,45.69,0.43,2.17,Live_Carbon,39.28
1,Balsam_fir-white_birch,Moderate,3.27,43,0.45,43.00,32.87,45.69,0.43,2.17,Dead_Carbon,1.30
1,Balsam_fir-white_birch,High,3.28,52,0.41,52.00,34.27,47.12,0.28,1.88,Live_Carbon,40.69
1,Balsam_fir-white_birch,High,3.28,52,0.41,52.00,34.27,47.12,0.28,1.88,Dead_Carbon,1.08
1,Balsam_fir-yellow_birch,Low,2.97,43,0.16,43.00,35.60,47.25,0.34,0.95,Live_Carbon,41.43
1,Balsam_fir-yellow_birch,Low,2.97,43,0.16,43.00,35.60,47.25,0.34,0.95,Dead_Carbon,0.65
1,Balsam_fir-yellow_birch,Moderate,2.81,53,0.28,53.00,36.19,47.21,0.36,1.44,Live_Carbon,41.70
1,Balsam_fir-yellow_birch,Moderate,2.81,53,0.28,53.00,36.19,47.21,0.36,1.44,Dead_Carbon,0.90
1,Balsam_fir-yellow_birch,High,3.26,37,0.19,37.00,30.32,43.12,0.38,1.14,Live_Carbon,36.72
1,Balsam_fir-yellow_birch,High,3.26,37,0.19,37.00,30.32,43.12,0.38,1.14,Dead_Carbon,0.76
2,Balsam_fir-white_birch,Low,3.29,25,0.56,25.00,39.00,51.91,-0.32,1.88,Live_Carbon,45.45
2,Balsam_fir-white_birch,Low,3.29,25,0.56,25.00,39.00,51.91,-0.32,1.88,Dead_Carbon,0.78
2,Balsam_fir-white_birch,Moderate,2.78,48,0.25,48.00,41.11,52.02,0.47,1.45,Live_Carbon,46.57
2,Balsam_fir-white_birch,Moderate,2.78,48,0.25,48.00,41.11,52.02,0.47,1.45,Dead_Carbon,0.96
2,Balsam_fir-white_birch,High,2.40,57,0.50,57.00,42.98,52.37,0.53,2.49,Live_Carbon,47.67
2,Balsam_fir-white_birch,High,2.40,57,0.50,57.00,42.98,52.37,0.53,2.49,Dead_Carbon,1.51
2,Balsam_fir-yellow_birch,Low,3.00,59,0.12,59.00,42.33,54.10,0.00,0.48,Live_Carbon,48.22
2,Balsam_fir-yellow_birch,Low,3.00,59,0.12,59.00,42.33,54.10,0.00,0.48,Dead_Carbon,0.24
2,Balsam_fir-yellow_birch,Moderate,2.40,62,0.24,62.00,41.51,50.92,0.36,1.31,Live_Carbon,46.21
2,Balsam_fir-yellow_birch,Moderate,2.40,62,0.24,62.00,41.51,50.92,0.36,1.31,Dead_Carbon,0.83
2,Balsam_fir-yellow_birch,High,2.48,60,0.32,60.00,31.58,41.29,0.84,2.08,Live_Carbon,36.44
2,Balsam_fir-yellow_birch,High,2.48,60,0.32,60.00,31.58,41.29,0.84,2.08,Dead_Carbon,1.46
4,Balsam_fir-white_birch,Low,5.24,15,0.54,15.00,48.96,69.49,0.45,2.57,Live_Carbon,59.23
4,Balsam_fir-white_birch,Low,5.24,15,0.54,15.00,48.96,69.49,0.45,2.57,Dead_Carbon,1.51
4,Balsam_fir-white_birch,Moderate,4.08,19,0.12,19.00,37.73,53.70,0.09,0.57,Live_Carbon,45.71
4,Balsam_fir-white_birch,Moderate,4.08,19,0.12,19.00,37.73,53.70,0.09,0.57,Dead_Carbon,0.33
4,Balsam_fir-white_birch,High,3.15,33,2.09,33.00,37.28,49.64,3.50,11.71,Live_Carbon,43.46
4,Balsam_fir-white_birch,High,3.15,33,2.09,33.00,37.28,49.64,3.50,11.71,Dead_Carbon,7.60
4,Balsam_fir-yellow_birch,Low,5.58,15,0.30,15.00,48.21,70.10,0.73,1.89,Live_Carbon,59.16
4,Balsam_fir-yellow_birch,Low,5.58,15,0.30,15.00,48.21,70.10,0.73,1.89,Dead_Carbon,1.31
4,Balsam_fir-yellow_birch,High,4.33,14,0.92,14.00,40.80,57.78,0.53,4.15,Live_Carbon,49.29
4,Balsam_fir-yellow_birch,High,4.33,14,0.92,14.00,40.80,57.78,0.53,4.15,Dead_Carbon,2.34
5,Balsam_fir-white_birch,Low,3.67,17,0.27,17.00,41.69,56.06,0.50,1.55,Live_Carbon,48.87
5,Balsam_fir-white_birch,Low,3.67,17,0.27,17.00,41.69,56.06,0.50,1.55,Dead_Carbon,1.03
6,Balsam_fir-white_birch,Low,3.79,30,0.19,30.00,40.04,54.90,0.34,1.08,Live_Carbon,47.47
6,Balsam_fir-white_birch,Low,3.79,30,0.19,30.00,40.04,54.90,0.34,1.08,Dead_Carbon,0.71
6,Balsam_fir-white_birch,Moderate,4.99,18,1.09,18.00,33.53,53.08,0.90,5.19,Live_Carbon,43.31
6,Balsam_fir-white_birch,Moderate,4.99,18,1.09,18.00,33.53,53.08,0.90,5.19,Dead_Carbon,3.04
6,Balsam_fir-white_birch,High,6.19,16,1.74,16.00,22.92,47.19,2.71,9.53,Live_Carbon,35.06
6,Balsam_fir-white_birch,High,6.19,16,1.74,16.00,22.92,47.19,2.71,9.53,Dead_Carbon,6.12
6,Balsam_fir-yellow_birch,Low,7.77,15,0.38,15.00,46.04,76.49,0.61,2.08,Live_Carbon,61.27
6,Balsam_fir-yellow_birch,Low,7.77,15,0.38,15.00,46.04,76.49,0.61,2.08,Dead_Carbon,1.35
7,Balsam_fir-white_birch,Low,6.38,10,0.63,10.00,45.45,70.46,0.36,2.81,Live_Carbon,57.95
7,Balsam_fir-white_birch,Low,6.38,10,0.63,10.00,45.45,70.46,0.36,2.81,Dead_Carbon,1.58
7,Balsam_fir-white_birch,High,5.28,13,2.79,13.00,19.67,40.35,6.10,17.03,Live_Carbon,30.01
7,Balsam_fir-white_birch,High,5.28,13,2.79,13.00,19.67,40.35,6.10,17.03,Dead_Carbon,11.57
7,Balsam_fir-yellow_birch,Low,4.38,39,0.21,39.00,52.16,69.32,0.71,1.56,Live_Carbon,60.74
7,Balsam_fir-yellow_birch,Low,4.38,39,0.21,39.00,52.16,69.32,0.71,1.56,Dead_Carbon,1.14
7,Balsam_fir-yellow_birch,Moderate,3.52,25,1.03,25.00,30.60,44.39,3.56,7.59,Live_Carbon,37.49
7,Balsam_fir-yellow_birch,Moderate,3.52,25,1.03,25.00,30.60,44.39,3.56,7.59,Dead_Carbon,5.58
7,Balsam_fir-yellow_birch,High,5.52,15,2.00,15.00,12.97,34.62,4.78,12.62,Live_Carbon,23.80
7,Balsam_fir-yellow_birch,High,5.52,15,2.00,15.00,12.97,34.62,4.78,12.62,Dead_Carbon,8.70
8,Balsam_fir-white_birch,Low,3.71,16,0.18,16.00,46.38,60.91,0.12,0.82,Live_Carbon,53.64
8,Balsam_fir-white_birch,Low,3.71,16,0.18,16.00,46.38,60.91,0.12,0.82,Dead_Carbon,0.47
8,Balsam_fir-white_birch,Moderate,4.08,23,0.89,23.00,32.59,48.60,2.41,5.88,Live_Carbon,40.60
8,Balsam_fir-white_birch,Moderate,4.08,23,0.89,23.00,32.59,48.60,2.41,5.88,Dead_Carbon,4.14
8,Balsam_fir-white_birch,High,3.10,26,1.97,26.00,19.16,31.30,3.73,11.44,Live_Carbon,25.23
8,Balsam_fir-white_birch,High,3.10,26,1.97,26.00,19.16,31.30,3.73,11.44,Dead_Carbon,7.58
8,Balsam_fir-yellow_birch,Low,2.97,32,0.19,32.00,38.58,50.23,0.76,1.52,Live_Carbon,44.40
8,Balsam_fir-yellow_birch,Low,2.97,32,0.19,32.00,38.58,50.23,0.76,1.52,Dead_Carbon,1.14
8,Balsam_fir-yellow_birch,Moderate,3.08,43,0.83,43.00,33.35,45.41,3.94,7.21,Live_Carbon,39.38
8,Balsam_fir-yellow_birch,Moderate,3.08,43,0.83,43.00,33.35,45.41,3.94,7.21,Dead_Carbon,5.58
8,Balsam_fir-yellow_birch,High,2.54,41,1.64,41.00,19.30,29.24,13.22,19.64,Live_Carbon,24.27
8,Balsam_fir-yellow_birch,High,2.54,41,1.64,41.00,19.30,29.24,13.22,19.64,Dead_Carbon,16.43
9,Balsam_fir-yellow_birch,Low,3.79,37,0.21,37.00,45.22,60.09,0.92,1.74,Live_Carbon,52.66
9,Balsam_fir-yellow_birch,Low,3.79,37,0.21,37.00,45.22,60.09,0.92,1.74,Dead_Carbon,1.33
9,Balsam_fir-yellow_birch,Moderate,2.09,52,0.89,52.00,36.49,44.67,6.95,10.46,Live_Carbon,40.58
9,Balsam_fir-yellow_birch,Moderate,2.09,52,0.89,52.00,36.49,44.67,6.95,10.46,Dead_Carbon,8.70
9,Balsam_fir-yellow_birch,High,2.49,43,1.84,43.00,14.07,23.83,14.16,21.38,Live_Carbon,18.95
